path,artist_name,song_name,features,features11
folder5/Ilham Karaoui - Boss ｜  الهام قروي  (Exclusive Music Video 2018) [R73asSbfcas].mp3,Ilham Karaoui ,folder5/Ilham Karaoui ,"[0.37176993, 2786.4354368777986, 2649.862134270631, 6063.5222504692065, 21.573531999382357, 0.17382175795028645, 0.5342824, 0.27176347, 16.931995, 2.4554584, 3.7054214854581575, 0.0022579475042115334, 0.26602903, 0.14254996740466383]",
folder5/Ismael Al Jareh & Mohamed Al Jbouri – Ya Blash ｜اسماعيل الجريح و محمد الجبوري  - يا بلاش ｜2018 [ZGGYohqoT8U].mp3,Ismael Al Jareh & Mohamed Al Jbouri – Ya Blash ｜اسماعيل الجريح و محمد الجبوري  ,folder5/Ismael Al Jareh & Mohamed Al Jbouri – Ya Blash ｜اسماعيل الجريح و محمد الجبوري  ,"[0.37908664, 2381.740747660197, 2310.815526964616, 4776.947044211574, 20.840246385014062, 0.18715791575035096, 0.5400919, 0.26829073, 23.256615, 4.8682585, 4.9688711948715385, 7.900974523080103e-05, 0.3258789, 0.1313963429613157]",
folder5/Lbenj feat. Bad Flow - Baghin [xAM2UdG6kwE].mp3,Lbenj feat. Bad Flow ,folder5/Lbenj feat. Bad Flow ,"[0.3254376, 2089.1866250393678, 1890.7979225558731, 4021.6906531382415, 19.596356835507688, 0.16074029116404648, 0.43689218, 0.22948945, 6.796758, -3.8671093, 2.0811755176177136, 0.004481904453757006, 0.14438033, 0.11938819826475829]",
folder5/Karima Gouit - Bent Lafchouch (EXCLUSIVE Music Video) ｜ (كريمة غيث - بنت الفشوش (فيديو كليب حصري [0iXIpw2ykfw].mp3,Karima Gouit ,folder5/Karima Gouit ,"[0.375323, 2596.17859575462, 2419.8686620311732, 5506.803099683622, 19.84280647548369, 0.1474234541528244, 0.5275233, 0.25148392, 13.004494, -1.2019471, 2.94354753264759, -0.0036092334565908063, 0.21352427, 0.13865894182011176]",
folder5/Lbenj - Classe [D08diXu7NRo].mp3,Lbenj ,folder5/Lbenj ,"[0.41758642, 2292.2126803776614, 2382.577874370234, 4793.019333699624, 20.53654777442735, 0.13105585532515715, 0.5437527, 0.267486, 13.316906, 2.4445832, 3.161377860763684, -0.005287175200660864, 0.22867182, 0.1087482662896747]",
folder5/Kabila Records ｜ Zaid Laazizi - Dayra Succès (Official Video 2018) ｜  زيد العزيزي - دايرا السوكسي [r-LosLt_EWQ].mp3,Kabila Records ｜ Zaid Laazizi ,folder5/Kabila Records ｜ Zaid Laazizi ,"[0.3526148, 2688.697271825433, 2481.481452599971, 5548.587265316206, 20.81523855246566, 0.18421520344082148, 0.512396, 0.2608594, 11.860158, 1.5594255, 3.278249897527537, -5.240942299156461e-05, 0.22954483, 0.1510256387634105]",
folder5/Imad Benaomar - 3awd Tani (EXCLUSIVE Music Video) ｜  عماد بنعمر - عاود تاني [JB8L4DPmBFo].mp3,Imad Benaomar ,folder5/Imad Benaomar ,"[0.30905023, 2672.096535219772, 2533.8976721466406, 5643.397966695581, 21.634485083107524, 0.19438753431538283, 0.50448966, 0.26197582, 21.537876, 3.0040772, 4.173564995536568, -0.015564634599597331, 0.30401352, 0.13420809032216338]",
folder5/Lbenj - Amoureux Tombé (feat. Mounim Slimani & DJ Med) [AN60XoWSo_0].mp3,Lbenj ,folder5/Lbenj ,"[0.37368992, 2260.133895954623, 2254.388545415938, 4544.569011789727, 20.692344554763068, 0.15149148552704722, 0.5201195, 0.26496625, 12.193022, 1.2621527, 3.101444187852155, -0.01258749491712751, 0.21774662, 0.10995876172804456]",
folder5/Mahdi Baccouch - Men Ha' El Gamil [IuybN5QSF5A].mp3,Mahdi Baccouch ,folder5/Mahdi Baccouch ,"[0.3932633, 2700.205720686719, 2501.728475980307, 5611.7171896180635, 21.441750310519755, 0.17838597038192416, 0.51283944, 0.26633716, 9.435729, 1.4096613, 2.9667465922594864, -0.022684976308958597, 0.19856547, 0.1530054758702988]",
folder5/Lola Jaffan ft Jad Shwery-Ma Fish Kida[Official Music Video](2018)⧸لولا جفان وجاد شويري - ما فيش كده [WR9xtImGdnQ].mp3,Lola Jaffan ft Jad Shwery,folder5/Lola Jaffan ft Jad Shwery,"[0.45512813, 2810.7798859801906, 2625.216143447629, 5982.3567239746135, 20.827926643320897, 0.18310107294060043, 0.50021017, 0.25659105, 21.467953, 5.1219916, 4.085639246436487, -0.002070723325173254, 0.29468456, 0.13241097432292095]",
